Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
PS2;PS1,R1SE-0505,A_MyFootPrints:8-SMD,2,-,-,-,-
P4,pH,A_MyFootPrints:BNC_Socket_TYCO-AMP_LargePads,1,-,-,-,-
P5,pH/ORP,A_MyFootPrints:BNC_Socket_TYCO-AMP_LargePads,1,-,-,-,-
U5;U10,LTC2483,A_MyFootPrints:DFN-10_3x3mm,2,-,-,-,-
RV2;RV4,10K,A_MyFootPrints:POTENTIAMETER_SMD,2,-,-,-,-
RV1;RV3,50K,A_MyFootPrints:POTENTIAMETER_SMD,2,-,-,-,-
C11;C7;C9;C10;C12;C15;C14;C16;C6;C2;C3;C1;C29;C28;C30;C25;C21;C23;C24;C26,100nF,Capacitors_SMD:C_0805,20,-,-,-,-
C19;C17;C20;C33;C31;C34,10uF,Capacitors_SMD:C_0805,6,-,-,-,-
C13;C27,1uF,Capacitors_SMD:C_0805,2,-,-,-,-
C8;C22,33pF,Capacitors_SMD:C_0805,2,-,-,-,-
C18;C5;C4;C32,4u7,Capacitors_SMD:C_0805,4,-,-,-,-
D3;D4,DB2J310,Diodes_SMD:SOD-323,2,-,-,-,-
IC1,PIC32MM0064GPM028,Housings_DFN_QFN:QFN-28-1EP_6x6mm_Pitch0.65mm,1,-,-,-,-
U3;U8,LMC6061,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,2,-,-,-,-
U2,ST485EC,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,1,-,-,-,-
U6;U11,Si8602,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,2,-,-,-,-
U7;U12,TC7660,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,2,-,-,-,-
U4;U9,TLV272,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,2,-,-,-,-
D2,APT2012,LEDs:LED-0805,1,-,-,-,-
TP1;TP2,TEST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,2,-,-,-,-
D1,SMP4-RGY,MyFootPrints:PLCC-4,1,-,-,-,-
X1,8MHz,MyFootPrints:Resonator_3.2x1.3,1,-,-,-,-
P3,Power,MyFootPrints:Screw_Header_1x2,1,-,-,-,-
P2,AquaPicBus,MyFootPrints:USB-1.1_Stacked,1,-,-,-,-
P1,ICSP,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,1,-,-,-,-
R30,100K,Resistors_SMD:R_0805,1,-,-,-,-
R14;R23;R24;R7;R8;R28;R37;R38,10K,Resistors_SMD:R_0805,8,-,-,-,-
R3;R4;R5;R13,150R,Resistors_SMD:R_0805,4,-,-,-,-
R22;R6;R36,1K,Resistors_SMD:R_0805,3,-,-,-,-
R18;R19;R17;R20;R21;R32;R33;R31;R34;R35,221K,Resistors_SMD:R_0805,10,-,-,-,-
R15;R29,2M,Resistors_SMD:R_0805,2,-,-,-,-
R16,49K9,Resistors_SMD:R_0805,1,-,-,-,-
R26;R25;R2;R1;R10;R12;R9;R11;R40;R39,4K99,Resistors_SMD:R_0805,10,-,-,-,-
R27;R41,50R,Resistors_SMD:R_2512,2,-,-,-,-
U1,AP2114H,TO_SOT_Packages_SMD:SOT-223,1,-,-,-,-
Q4,AO3407A,TO_SOT_Packages_SMD:SOT-23,1,-,-,-,-
Q3;Q1;Q2,NX7002AK,TO_SOT_Packages_SMD:SOT-23,3,-,-,-,-
